kind,count,batches,push_ms,array_upload_ms,scene_gpu,gpu_vision_ms,gpu_composite_ms,gpu_total_ms,serialized_cpu_gpu_total_ms,samples,units_ms,vision_ms,fog_ms,total_ms,total_min_ms,total_max_ms,source,line
scene_fog_cpu,0,0,0.042,0.042,yes,,,,,,,,,,,,D:\UE5Project\Winyunq\Saved\Logs\Winyunq.log,3366
scene_fog_cpu,0,0,0.009,0.009,yes,,,,,,,,,,,,D:\UE5Project\Winyunq\Saved\Logs\Winyunq.log,3397
scene_fog_cpu,16,2,0.019,0.018,yes,,,,,,,,,,,,D:\UE5Project\Winyunq\Saved\Logs\Winyunq.log,3399
scene_fog_cpu,2689,4,0.043,0.042,yes,,,,,,,,,,,,D:\UE5Project\Winyunq\Saved\Logs\Winyunq.log,3401
scene_fog_cpu,2689,4,0.035,0.034,yes,,,,,,,,,,,,D:\UE5Project\Winyunq\Saved\Logs\Winyunq.log,3402
scene_fog_cpu,5350,5,0.055,0.054,yes,,,,,,,,,,,,D:\UE5Project\Winyunq\Saved\Logs\Winyunq.log,3403
scene_fog_cpu,8021,5,0.152,0.15,yes,,,,,,,,,,,,D:\UE5Project\Winyunq\Saved\Logs\Winyunq.log,3409
scene_fog_cpu,8021,5,0.116,0.115,yes,,,,,,,,,,,,D:\UE5Project\Winyunq\Saved\Logs\Winyunq.log,3410
scene_fog_cpu,10687,6,0.093,0.092,yes,,,,,,,,,,,,D:\UE5Project\Winyunq\Saved\Logs\Winyunq.log,3413
scene_fog_cpu,0,0,0.015,0.014,yes,,,,,,,,,,,,D:\UE5Project\Winyunq\Saved\Logs\Winyunq.log,3615
scene_fog_cpu,0,0,0.013,0.012,yes,,,,,,,,,,,,D:\UE5Project\Winyunq\Saved\Logs\Winyunq.log,3861
scene_fog_cpu,16,2,0.014,0.013,yes,,,,,,,,,,,,D:\UE5Project\Winyunq\Saved\Logs\Winyunq.log,3865
scene_fog_cpu,16,2,0.013,0.013,yes,,,,,,,,,,,,D:\UE5Project\Winyunq\Saved\Logs\Winyunq.log,3869
scene_fog_cpu,2689,4,0.036,0.035,yes,,,,,,,,,,,,D:\UE5Project\Winyunq\Saved\Logs\Winyunq.log,3870
scene_fog_cpu,0,0,0.023,0.022,yes,,,,,,,,,,,,D:\UE5Project\Winyunq\Saved\Logs\Winyunq.log,4073
scene_fog_cpu,0,0,0.006,0.005,yes,,,,,,,,,,,,D:\UE5Project\Winyunq\Saved\Logs\Winyunq.log,4103
scene_fog_cpu,16,2,0.008,0.008,yes,,,,,,,,,,,,D:\UE5Project\Winyunq\Saved\Logs\Winyunq.log,4105
scene_fog_cpu,16,2,0.014,0.013,yes,,,,,,,,,,,,D:\UE5Project\Winyunq\Saved\Logs\Winyunq.log,4107
scene_fog_cpu,2689,4,0.036,0.035,yes,,,,,,,,,,,,D:\UE5Project\Winyunq\Saved\Logs\Winyunq.log,4108
scene_fog_cpu,5350,5,0.06,0.059,yes,,,,,,,,,,,,D:\UE5Project\Winyunq\Saved\Logs\Winyunq.log,4109
scene_fog_cpu,5350,5,0.052,0.051,yes,,,,,,,,,,,,D:\UE5Project\Winyunq\Saved\Logs\Winyunq.log,4111
scene_fog_cpu,8021,5,0.08,0.079,yes,,,,,,,,,,,,D:\UE5Project\Winyunq\Saved\Logs\Winyunq.log,4112
scene_fog_cpu,10687,6,0.101,0.1,yes,,,,,,,,,,,,D:\UE5Project\Winyunq\Saved\Logs\Winyunq.log,4115
scene_fog_cpu,10687,6,0.099,0.097,yes,,,,,,,,,,,,D:\UE5Project\Winyunq\Saved\Logs\Winyunq.log,4116
scene_fog_cpu,13356,7,0.142,0.141,yes,,,,,,,,,,,,D:\UE5Project\Winyunq\Saved\Logs\Winyunq.log,4120
scene_fog_cpu,13356,7,0.151,0.15,yes,,,,,,,,,,,,D:\UE5Project\Winyunq\Saved\Logs\Winyunq.log,4122
scene_fog_cpu,13356,7,0.145,0.144,yes,,,,,,,,,,,,D:\UE5Project\Winyunq\Saved\Logs\Winyunq.log,4123
scene_fog_cpu,16027,7,0.165,0.163,yes,,,,,,,,,,,,D:\UE5Project\Winyunq\Saved\Logs\Winyunq.log,4124
scene_fog_cpu,16027,7,0.18,0.179,yes,,,,,,,,,,,,D:\UE5Project\Winyunq\Saved\Logs\Winyunq.log,4125
scene_fog_cpu,18691,8,0.183,0.182,yes,,,,,,,,,,,,D:\UE5Project\Winyunq\Saved\Logs\Winyunq.log,4126
